institution,project_id,country,title,description,amount_original,original_currency,amount_eur,amount_usd,approval_date,approval_year,closing_date,status,sector,instrument_type,public_private,implementing_entity,source_url,financial_intermediary,guarantee_blended,eu_alignment,humanitarian_dev
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/001,Central African Republic,3.1.1: INCREASED NET ENROLLMENT,"By 2016, the net enrollment rate is increased from 66% to 80% in seven post conflict prefectures.",14602004.0,USD,11358124.0,14602004.0,2012-01-01,2012.0,,Pipeline,fragility and conflict,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/001,Central African Republic,3.1.1: INCREASED NET ENROLLMENT,"By 2016, the net enrollment rate is increased from 66% to 80% in seven post conflict prefectures.",14602004.0,USD,11358124.0,14602004.0,2012-01-01,2012.0,,Pipeline,fragility and conflict,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/002,Central African Republic,3.1.2: EMERGENCY EDUCATION,"By 2012, 50% of boys and girls of primary school age in situations of conflict have access to education.",21746720.0,USD,16915619.0,21746720.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/002,Central African Republic,3.1.2: EMERGENCY EDUCATION,"By 2012, 50% of boys and girls of primary school age in situations of conflict have access to education.",21746720.0,USD,16915619.0,21746720.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/002,Central African Republic,3.1.2: EMERGENCY EDUCATION,"By 2012, 50% of boys and girls of primary school age in situations of conflict have access to education.",21746720.0,USD,16915619.0,21746720.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/002,Central African Republic,3.1.2: EMERGENCY EDUCATION,"By 2012, 50% of boys and girls of primary school age in situations of conflict have access to education.",21746720.0,USD,16915619.0,21746720.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/002,Central African Republic,3.1.2: EMERGENCY EDUCATION,"By 2012, 50% of boys and girls of primary school age in situations of conflict have access to education.",21746720.0,USD,16915619.0,21746720.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/002,Central African Republic,3.1.2: EMERGENCY EDUCATION,"By 2012, 50% of boys and girls of primary school age in situations of conflict have access to education.",21746720.0,USD,16915619.0,21746720.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/003,Central African Republic,3.1.3 : GENDER PARITY IN PRIMARY EDUCATI,"By 2016, the gender parity index in primary schools is 0.95 in the post conflict prefectures.",32464.0,USD,25252.0,32464.0,2012-01-01,2012.0,,Pipeline,fragility and conflict,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/003,Central African Republic,3.1.3 : GENDER PARITY IN PRIMARY EDUCATI,"By 2016, the gender parity index in primary schools is 0.95 in the post conflict prefectures.",32464.0,USD,25252.0,32464.0,2012-01-01,2012.0,,Pipeline,fragility and conflict,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/004,Central African Republic,3.1.4. ACCESS TO EDUCATION EU,Espaces d'apprentissage construits ou r̩habilit̩s et ̩quip̩s dans les lieux identifi̩s comme ̩tant dans le besoin,10506073.0,USD,9469196.0,10506073.0,2015-01-01,2015.0,,Pipeline,education,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/004,Central African Republic,3.1.4. ACCESS TO EDUCATION EU,Espaces d'apprentissage construits ou r̩habilit̩s et ̩quip̩s dans les lieux identifi̩s comme ̩tant dans le besoin,10506073.0,USD,9469196.0,10506073.0,2015-01-01,2015.0,,Pipeline,education,grant,public,,,no,no,,development
